order_id,customer_id,order_date,status,region_code,is_guest
O000074,C0045,2024-10-09,RETURNED,NORTH,0
O000075,C0378,2025-12-21,RETURNED,EAST,0
O000076,C0178,2026-04-15,RETURNED,NORTH,0
O000077,C0134,2024-06-28,DELIVERED,CENTRAL,0
O000078,C0490,2024-09-20,CANCELLED,CENTRAL,0
O000079,C0248,2026-02-27,RETURNED,NORTH,0
O000080,C0247,2024-04-29,SHIPPED,EAST,0
O000081,C0212,2024-12-27,DELIVERED,WEST,0
O000082,C0345,2026-02-05,PLACED,SOUTH,0
O000083,C0458,2025-08-10,CANCELLED,SOUTH,0
O000084,C0121,2026-01-23,RETURNED,EAST,0
O000085,C0080,2026-03-08,RETURNED,NORTH,0
O000086,C0392,2026-05-27,CANCELLED,CENTRAL,0
O000087,C0445,2024-10-08,SHIPPED,CENTRAL,0
O000088,C0066,2024-02-25,PLACED,WEST,0
O000089,C0441,2025-12-03,PLACED,NORTH,0
O000090,C0007,2025-11-21,PLACED,SOUTH,0
O000091,C0281,2024-09-26,CANCELLED,WEST,0
O000092,C0108,2025-03-05,SHIPPED,CENTRAL,0
O000093,C0068,2025-08-12,RETURNED,WEST,0
O000094,C0439,2025-01-25,DELIVERED,SOUTH,0
O000095,C0216,2025-05-26,PLACED,WEST,0
O000096,C0154,2024-09-13,DELIVERED,SOUTH,0
O000097,C0417,2024-09-17,PLACED,EAST,0
O000098,C0287,2025-07-24,RETURNED,SOUTH,0
O000099,C0296,2025-08-12,PLACED,CENTRAL,0
O000100,C0250,2026-03-04,SHIPPED,SOUTH,0
O000101,C0328,2026-04-07,DELIVERED,NORTH,0
O000102,C0083,2024-12-17,CANCELLED,EAST,0
O000103,C0455,2025-03-31,CANCELLED,WEST,0
O000104,C0086,2024-07-07,DELIVERED,SOUTH,0
O000105,C0086,2025-02-10,DELIVERED,WEST,0
O000106,C0269,2026-02-22,CANCELLED,EAST,0
O000107,C0118,2024-09-10,SHIPPED,NORTH,0
O000108,C0018,2025-11-10,RETURNED,EAST,0
O000109,C0281,2025-03-31,CANCELLED,CENTRAL,0
O000110,C0223,2025-06-20,SHIPPED,NORTH,0
O000112,C0147,2025-04-25,PLACED,NORTH,0
O000113,C0393,2025-03-16,SHIPPED,WEST,0
O000114,C0452,2025-07-28,CANCELLED,SOUTH,0
O000115,C0135,2024-03-22,PLACED,EAST,0
O000116,C0333,2026-01-30,SHIPPED,EAST,0
O000117,C0057,2025-10-14,PLACED,NORTH,0
O000118,C0078,2024-02-20,SHIPPED,WEST,0
O000119,C0373,2024-01-09,PLACED,WEST,0
O000120,C0191,2025-04-19,SHIPPED,NORTH,0
O000121,C0137,2026-03-05,PLACED,WEST,0
O000122,C0425,2024-01-13,CANCELLED,SOUTH,0
O000123,C0378,2024-02-04,SHIPPED,WEST,0
O000124,C0200,2025-11-28,RETURNED,CENTRAL,0
O000125,C0063,2024-09-16,SHIPPED,NORTH,0
O000126,C0121,2025-10-10,CANCELLED,SOUTH,0
O000127,C0005,2024-02-13,DELIVERED,SOUTH,0
O000128,C0081,2025-05-26,DELIVERED,NORTH,0
O000129,C0183,2025-10-22,PLACED,CENTRAL,0
O000130,C0404,2025-10-22,CANCELLED,EAST,0
O000131,C0371,2024-05-17,RETURNED,WEST,0
O000132,C0098,2025-08-03,RETURNED,CENTRAL,0
O000133,C0083,2024-03-11,CANCELLED,NORTH,0
O000134,C0398,2025-10-15,PLACED,CENTRAL,0
O000135,C0123,2024-11-24,RETURNED,WEST,0
O000136,C0393,2025-07-18,DELIVERED,CENTRAL,0
O000137,,2024-03-09,SHIPPED,NORTH,1
O000138,C0017,2025-08-07,RETURNED,EAST,0
O000139,C0026,2025-01-10,CANCELLED,NORTH,0
O000140,C0240,2026-03-31,PLACED,NORTH,0
O000141,C0422,2025-09-23,SHIPPED,CENTRAL,0
O000142,C0050,2024-04-13,SHIPPED,CENTRAL,0
O000143,C0321,2024-07-02,RETURNED,EAST,0
O000144,C0346,2025-04-14,RETURNED,WEST,0
O000145,C0259,2024-12-11,PLACED,CENTRAL,0
O000146,C0167,2026-05-15,RETURNED,SOUTH,0
O000147,C0289,2025-07-12,CANCELLED,WEST,0
O000148,,2025-02-10,PLACED,NORTH,1
O000149,C0154,2024-08-15,PLACED,CENTRAL,0
O000150,C0262,2025-07-23,SHIPPED,SOUTH,0
O000151,C0136,2025-01-10,RETURNED,WEST,0
O000152,C0292,2024-08-10,RETURNED,NORTH,0
O000153,C0305,2025-10-19,DELIVERED,EAST,0
O000154,C0179,2026-06-19,SHIPPED,CENTRAL,0
O000155,C0476,2024-01-12,PLACED,CENTRAL,0
O000156,C0290,2024-06-02,CANCELLED,WEST,0
O000157,C0386,2025-09-01,SHIPPED,SOUTH,0
O000158,C0173,2024-03-25,CANCELLED,CENTRAL,0
O000159,C0223,2026-03-03,CANCELLED,CENTRAL,0
O000160,C0101,2025-07-28,CANCELLED,EAST,0
O000161,C0351,2025-08-12,PLACED,EAST,0
O000162,,2025-11-02,CANCELLED,CENTRAL,1
O000163,,2025-03-27,DELIVERED,NORTH,1
O000164,C0379,2024-02-25,PLACED,NORTH,0
O000165,C0176,2025-12-11,RETURNED,SOUTH,0
O000166,C0105,2025-07-13,SHIPPED,NORTH,0
O000167,C0193,2025-08-19,SHIPPED,CENTRAL,0
O000168,C0139,2024-02-24,PLACED,NORTH,0
O000169,C0010,2024-10-26,DELIVERED,EAST,0
O000170,C0249,2026-06-06,RETURNED,NORTH,0
O000171,C0021,2024-09-10,DELIVERED,EAST,0
O000172,C0351,2024-12-26,PLACED,NORTH,0
O000173,C0321,2024-09-20,RETURNED,EAST,0
O000174,C0116,2024-06-04,RETURNED,CENTRAL,0
O000175,C0447,2025-10-02,PLACED,CENTRAL,0
O000176,C0169,2025-04-04,SHIPPED,SOUTH,0
O000177,C0159,2025-12-06,SHIPPED,CENTRAL,0
O000178,C0470,2024-06-10,PLACED,SOUTH,0
O000179,C0373,2024-01-31,CANCELLED,EAST,0
O000180,C0078,2026-03-08,RETURNED,EAST,0
O000181,C0311,2025-08-03,DELIVERED,WEST,0
O000182,C0069,2025-05-29,CANCELLED,WEST,0
O000183,C0243,2024-05-20,PLACED,WEST,0
O000184,C0114,2026-01-30,CANCELLED,CENTRAL,0
O000185,C0251,2025-12-05,DELIVERED,CENTRAL,0
O000186,C0377,2026-04-24,RETURNED,CENTRAL,0
O000187,C0269,2025-10-18,DELIVERED,SOUTH,0
O000188,C0266,2025-07-04,DELIVERED,SOUTH,0
O000189,C0150,2025-03-26,CANCELLED,EAST,0
O000190,C0314,2024-02-25,DELIVERED,CENTRAL,0
O000191,C0058,2024-07-03,CANCELLED,EAST,0
O000192,C0231,2024-01-26,CANCELLED,NORTH,0
O000193,C0129,2024-11-27,DELIVERED,NORTH,0
O000194,C0059,2025-12-24,RETURNED,CENTRAL,0
O000195,C0487,2024-06-12,RETURNED,SOUTH,0
O000196,C0084,2026-06-08,CANCELLED,EAST,0
O000197,C0321,2024-07-04,PLACED,NORTH,0
O000198,C0235,2025-05-24,SHIPPED,SOUTH,0
O000199,C0302,2025-11-06,SHIPPED,CENTRAL,0
O000200,C0143,2025-09-26,DELIVERED,EAST,0
O000201,C0019,2024-05-28,DELIVERED,NORTH,0
O000202,C0056,2025-03-02,RETURNED,CENTRAL,0
O000203,C0404,2025-07-29,DELIVERED,EAST,0
O000204,C0166,2025-01-12,DELIVERED,EAST,0
O000205,C0242,2024-05-17,SHIPPED,SOUTH,0
O000206,C0314,2024-02-29,CANCELLED,CENTRAL,0
O000207,C0479,2026-03-18,RETURNED,CENTRAL,0
O000208,C0320,2024-12-28,CANCELLED,WEST,0
O000209,C0414,2024-07-03,DELIVERED,NORTH,0
O000210,C0239,2025-10-02,CANCELLED,WEST,0
O000211,C0024,2024-12-07,PLACED,EAST,0
O000212,C0405,2024-03-10,PLACED,EAST,0
O000213,C0203,2026-01-11,PLACED,WEST,0
O000214,C0470,2025-04-30,RETURNED,EAST,0
O000215,C0237,2026-03-13,RETURNED,EAST,0
O000216,,2025-07-02,PLACED,NORTH,1
O000217,C0497,2024-06-01,SHIPPED,CENTRAL,0
O000218,C0311,2025-02-02,PLACED,NORTH,0
O000219,C0140,2025-02-27,PLACED,SOUTH,0
O000220,C0269,2024-11-05,DELIVERED,WEST,0
O000221,C0260,2024-01-26,CANCELLED,CENTRAL,0
O000222,C0159,2026-03-05,RETURNED,SOUTH,0
O000223,,2026-01-11,DELIVERED,CENTRAL,1
O000224,C0447,2024-03-30,PLACED,NORTH,0
O000225,C0296,2026-02-15,PLACED,CENTRAL,0
O000226,C0164,2026-03-02,DELIVERED,CENTRAL,0
O000227,C0287,2025-06-10,PLACED,CENTRAL,0
O000228,C0126,2024-06-24,SHIPPED,NORTH,0
O000229,C0242,2026-07-13,SHIPPED,CENTRAL,0
O000230,C0457,2025-08-29,PLACED,SOUTH,0
O000231,C0366,2026-02-15,CANCELLED,CENTRAL,0
O000232,C0068,2024-04-05,CANCELLED,WEST,0
O000233,C0119,2024-08-17,SHIPPED,EAST,0
O000234,C0404,2026-05-31,PLACED,WEST,0
O000235,C0237,2026-05-16,DELIVERED,WEST,0
O000236,C0419,2026-01-01,RETURNED,WEST,0
O000237,C0206,2025-08-27,CANCELLED,NORTH,0
O000238,C0175,2024-08-01,PLACED,CENTRAL,0
O000239,C0356,2024-08-29,CANCELLED,NORTH,0
O000240,C0304,2025-09-02,CANCELLED,NORTH,0
O000241,C0307,2024-04-21,DELIVERED,NORTH,0
O000242,C0112,2026-04-16,SHIPPED,SOUTH,0
O000243,C0232,2025-06-28,PLACED,EAST,0
O000244,C0292,2026-03-24,PLACED,NORTH,0
O000245,C0299,2024-01-09,DELIVERED,EAST,0
O000246,C0462,2025-07-16,DELIVERED,EAST,0
O000247,C0444,2024-02-01,CANCELLED,WEST,0
O000248,C0196,2025-03-21,CANCELLED,EAST,0
O000249,C0431,2025-03-03,DELIVERED,NORTH,0
O000250,C0074,2026-01-08,SHIPPED,WEST,0
O000251,C0441,2025-04-11,CANCELLED,CENTRAL,0
O000252,C0218,2025-07-19,DELIVERED,CENTRAL,0
O000253,C0256,2026-05-17,RETURNED,EAST,0
O000254,C0018,2024-02-08,DELIVERED,SOUTH,0
O000255,C0374,2026-01-18,RETURNED,NORTH,0
O000256,C0268,2026-06-30,DELIVERED,CENTRAL,0
O000257,C0409,2025-08-16,CANCELLED,WEST,0
O000258,C0263,2025-04-25,PLACED,EAST,0
O000259,C0086,2024-02-06,PLACED,NORTH,0
O000260,C0323,2025-04-29,RETURNED,NORTH,0
O000261,C0147,2025-05-11,SHIPPED,CENTRAL,0
O000262,C0144,2024-10-08,RETURNED,SOUTH,0
O000263,C0338,2025-04-02,SHIPPED,CENTRAL,0
O000264,C0442,2024-02-03,SHIPPED,WEST,0
O000265,C0386,2025-02-26,SHIPPED,CENTRAL,0
O000266,C0376,2026-05-12,SHIPPED,WEST,0
O000267,C0205,2025-05-02,CANCELLED,WEST,0
O000268,C0243,2024-09-25,CANCELLED,WEST,0
O000269,C0348,2024-11-19,PLACED,WEST,0
O000270,C0313,2025-10-29,RETURNED,WEST,0
O000271,C0237,2026-03-02,RETURNED,EAST,0
O000272,C0347,2025-12-07,DELIVERED,NORTH,0
O000273,C0211,2024-04-10,PLACED,SOUTH,0
O000274,C0018,2024-01-25,SHIPPED,CENTRAL,0
O000275,C0327,2024-05-04,RETURNED,SOUTH,0
O000276,C0459,2024-04-23,CANCELLED,EAST,0
O000277,C0394,2025-03-13,DELIVERED,EAST,0
O000278,C0398,2024-03-04,PLACED,SOUTH,0
O000279,C0226,2024-03-12,CANCELLED,NORTH,0
O000280,C0074,2025-07-07,PLACED,NORTH,0
O000281,C0018,2024-03-15,CANCELLED,SOUTH,0
O000282,,2025-10-17,CANCELLED,CENTRAL,1
O000283,C0002,2025-06-11,DELIVERED,CENTRAL,0
O000284,C0116,2024-01-04,RETURNED,EAST,0
O000285,C0171,2025-11-29,PLACED,CENTRAL,0
O000286,C0437,2024-12-14,SHIPPED,CENTRAL,0
O000287,C0021,2025-01-28,PLACED,WEST,0
O000288,C0044,2026-06-25,RETURNED,SOUTH,0
O000289,C0251,2025-02-02,CANCELLED,NORTH,0
O000290,C0019,2024-12-13,RETURNED,WEST,0
O000291,C0482,2025-11-25,DELIVERED,NORTH,0
O000292,C0377,2024-05-24,SHIPPED,SOUTH,0
O000293,C0008,2024-06-25,RETURNED,SOUTH,0
O000294,C0428,2025-08-28,RETURNED,SOUTH,0
O000295,C0033,2026-04-03,CANCELLED,EAST,0
O000296,C0062,2025-12-01,DELIVERED,CENTRAL,0
O000297,C0089,2024-12-09,PLACED,CENTRAL,0
O000298,C0085,2025-03-25,RETURNED,WEST,0
O000299,,2024-06-10,RETURNED,EAST,1
O000300,C0214,2025-12-11,PLACED,CENTRAL,0
O000301,C0231,2025-02-25,CANCELLED,CENTRAL,0
O000302,C0487,2024-03-31,SHIPPED,SOUTH,0
O000303,C0061,2025-06-26,RETURNED,SOUTH,0
O000304,C0238,2026-02-27,SHIPPED,WEST,0
O000305,C0255,2024-06-29,SHIPPED,WEST,0
O000306,C0129,2024-12-08,DELIVERED,CENTRAL,0
O000307,C0091,2024-06-10,CANCELLED,CENTRAL,0
O000308,C0297,2024-11-29,DELIVERED,EAST,0
O000309,C0117,2024-04-10,DELIVERED,WEST,0
O000310,C0300,2025-05-11,SHIPPED,WEST,0
O000311,C0192,2024-05-19,PLACED,SOUTH,0
O000312,C0017,2025-12-09,CANCELLED,SOUTH,0
O000313,C0390,2024-12-17,RETURNED,SOUTH,0
O000314,C0296,2025-07-20,SHIPPED,CENTRAL,0
O000315,C0243,2026-05-07,SHIPPED,EAST,0
O000316,C0223,2025-08-16,DELIVERED,WEST,0
O000317,C0023,2024-02-11,CANCELLED,WEST,0
O000318,C0415,2026-03-28,DELIVERED,WEST,0
O000319,C0487,2024-08-11,CANCELLED,EAST,0
O000320,C0083,2025-12-21,CANCELLED,SOUTH,0
O000321,C0448,2025-12-21,DELIVERED,NORTH,0
O000322,C0198,2026-07-03,RETURNED,CENTRAL,0
O000323,C0295,2026-03-24,DELIVERED,CENTRAL,0
O000324,C0485,2025-11-21,DELIVERED,EAST,0
O000325,C0188,2024-06-28,SHIPPED,EAST,0
O000326,C0123,2025-07-06,SHIPPED,SOUTH,0
O000327,C0165,2024-12-27,PLACED,EAST,0
O000328,C0232,2025-05-12,RETURNED,EAST,0
O000329,C0232,2025-09-27,DELIVERED,SOUTH,0
O000330,C0457,2026-06-24,DELIVERED,NORTH,0
O000331,C0085,2024-10-09,DELIVERED,EAST,0
O000332,C0214,2025-11-29,DELIVERED,EAST,0
O000333,,2024-03-05,RETURNED,EAST,1
O000334,C0336,2025-10-23,RETURNED,WEST,0
O000335,C0235,2024-11-07,SHIPPED,WEST,0
O000336,C0191,2024-10-22,SHIPPED,CENTRAL,0
O000337,C0474,2024-06-13,SHIPPED,SOUTH,0
O000338,,2024-04-29,SHIPPED,CENTRAL,1
O000339,C0363,2024-02-05,SHIPPED,CENTRAL,0
O000340,C0155,2024-05-04,CANCELLED,EAST,0
O000341,C0080,2024-01-05,PLACED,WEST,0
O000342,C0459,2024-10-23,RETURNED,WEST,0
O000343,C0174,2025-12-06,DELIVERED,EAST,0
O000344,C0013,2025-02-15,RETURNED,SOUTH,0
O000345,C0299,2025-06-23,RETURNED,WEST,0
O000346,C0347,2025-11-18,RETURNED,CENTRAL,0
O000347,C0262,2024-02-27,PLACED,WEST,0
O000348,C0191,2024-01-13,DELIVERED,SOUTH,0
O000349,C0373,2026-06-28,CANCELLED,WEST,0
O000350,C0072,2026-05-05,RETURNED,EAST,0
O000351,C0034,2025-08-27,CANCELLED,SOUTH,0
O000352,C0285,2025-04-18,CANCELLED,EAST,0
O000353,,2025-05-17,CANCELLED,SOUTH,1
O000354,,2026-03-21,DELIVERED,EAST,1
O000355,C0214,2024-07-02,PLACED,WEST,0
O000356,C0497,2024-03-09,PLACED,WEST,0
O000357,C0499,2025-12-11,PLACED,SOUTH,0
O000358,C0298,2024-02-29,DELIVERED,EAST,0
O000359,C0185,2025-03-05,DELIVERED,CENTRAL,0
O000360,C0100,2026-02-23,PLACED,EAST,0
O000361,C0424,2026-05-15,DELIVERED,CENTRAL,0
O000362,C0297,2024-12-26,CANCELLED,WEST,0
O000363,C0175,2024-06-15,RETURNED,CENTRAL,0
O000364,C0354,2026-05-01,DELIVERED,WEST,0
O000365,C0236,2024-03-19,PLACED,SOUTH,0
O000366,C0419,2025-03-28,PLACED,NORTH,0
O000367,C0382,2026-04-14,PLACED,SOUTH,0
O000368,C0108,2024-05-13,DELIVERED,WEST,0
O000369,,2025-03-17,CANCELLED,NORTH,1
O000370,,2024-09-16,RETURNED,SOUTH,1
O000371,C0301,2026-07-11,PLACED,CENTRAL,0
O000372,C0179,2024-12-26,RETURNED,NORTH,0
O000373,C0051,2026-04-19,PLACED,SOUTH,0
O000374,C0462,2026-02-11,RETURNED,WEST,0
O000375,C0188,2025-12-15,PLACED,WEST,0
O000376,C0218,2024-08-07,CANCELLED,NORTH,0
O000377,C0267,2024-05-19,DELIVERED,EAST,0
O000378,C0253,2024-04-28,CANCELLED,SOUTH,0
O000379,C0284,2025-02-21,CANCELLED,EAST,0
O000380,C0092,2024-01-14,DELIVERED,NORTH,0
O000381,C0074,2025-02-08,SHIPPED,NORTH,0
O000382,C0187,2024-07-22,CANCELLED,WEST,0
O000383,C0143,2026-02-22,CANCELLED,EAST,0
O000384,C0244,2025-11-13,CANCELLED,NORTH,0
O000385,C0063,2024-09-13,DELIVERED,NORTH,0
O000386,,2025-11-25,RETURNED,CENTRAL,1
O000387,C0050,2026-02-17,SHIPPED,EAST,0
O000388,C0339,2025-05-24,RETURNED,NORTH,0
O000389,,2026-02-21,CANCELLED,WEST,1
O000390,,2024-02-06,SHIPPED,WEST,1
O000391,C0221,2024-05-17,CANCELLED,CENTRAL,0
O000392,C0351,2025-07-06,CANCELLED,EAST,0
O000393,C0254,2025-08-28,PLACED,NORTH,0
O000394,,2025-08-27,PLACED,WEST,1
O000395,C0050,2025-03-14,SHIPPED,SOUTH,0
O000396,C0332,2024-11-15,PLACED,SOUTH,0
O000397,C0011,2025-07-05,CANCELLED,EAST,0
O000398,C0011,2025-12-13,PLACED,CENTRAL,0
O000399,C0051,2026-04-07,PLACED,SOUTH,0
O000400,C0315,2024-11-02,DELIVERED,CENTRAL,0
O000401,C0110,2024-10-21,RETURNED,NORTH,0
O000402,C0368,2026-05-14,RETURNED,WEST,0
O000403,C0219,2024-08-02,PLACED,WEST,0
O000404,C0340,2025-07-06,RETURNED,SOUTH,0
O000405,C0452,2024-01-20,CANCELLED,EAST,0
O000406,C0480,2025-10-15,RETURNED,NORTH,0
O000407,C0268,2024-07-24,PLACED,WEST,0
O000408,C0211,2024-11-22,PLACED,EAST,0
O000409,C0331,2024-06-13,SHIPPED,NORTH,0
O000410,C0126,2026-03-27,DELIVERED,SOUTH,0
O000411,C0082,2024-10-06,SHIPPED,NORTH,0
O000412,C0494,2026-01-09,RETURNED,EAST,0
O000413,C0444,2024-03-06,DELIVERED,WEST,0
O000414,C0483,2026-05-09,DELIVERED,CENTRAL,0
O000415,C0341,2026-04-28,DELIVERED,SOUTH,0
O000416,C0308,2024-05-05,SHIPPED,WEST,0
O000417,C0112,2024-05-27,RETURNED,NORTH,0
O000418,C0252,2025-06-30,SHIPPED,EAST,0
O000419,C0451,2026-03-14,DELIVERED,CENTRAL,0
O000420,C0018,2026-05-11,SHIPPED,EAST,0
O000421,C0283,2025-01-28,DELIVERED,CENTRAL,0
O000422,C0444,2024-08-30,PLACED,EAST,0
O000423,C0047,2026-04-22,CANCELLED,EAST,0
O000424,C0451,2026-04-11,CANCELLED,WEST,0
O000425,C0378,2025-02-26,DELIVERED,SOUTH,0
O000426,C0358,2024-09-24,PLACED,WEST,0
O000427,C0356,2024-01-29,SHIPPED,NORTH,0
O000428,C0206,2024-07-23,RETURNED,SOUTH,0
O000429,C0434,2025-08-31,SHIPPED,EAST,0
O000430,C0089,2025-12-04,PLACED,SOUTH,0
O000431,C0202,2026-06-16,DELIVERED,CENTRAL,0
O000432,C0332,2025-09-18,SHIPPED,NORTH,0
O000433,C0206,2025-09-24,RETURNED,NORTH,0
O000434,C0008,2026-01-05,CANCELLED,NORTH,0
O000435,C0115,2025-12-31,CANCELLED,WEST,0
O000436,C0067,2025-03-17,SHIPPED,WEST,0
O000437,C0093,2025-02-22,CANCELLED,SOUTH,0
O000438,C0190,2025-08-19,PLACED,WEST,0
O000439,C0352,2024-08-05,DELIVERED,CENTRAL,0
O000440,C0031,2024-02-23,RETURNED,NORTH,0
O000441,C0003,2024-09-16,SHIPPED,CENTRAL,0
O000442,C0022,2025-08-17,CANCELLED,SOUTH,0
O000443,C0046,2024-11-20,SHIPPED,WEST,0
O000444,C0447,2026-05-04,PLACED,CENTRAL,0
O000445,C0425,2026-02-18,CANCELLED,SOUTH,0
O000446,C0285,2026-05-23,DELIVERED,SOUTH,0
O000447,C0094,2024-02-06,CANCELLED,NORTH,0
O000448,C0227,2024-12-31,SHIPPED,NORTH,0
O000449,C0179,2024-04-05,PLACED,CENTRAL,0
O000450,C0457,2025-11-10,RETURNED,SOUTH,0
O000451,C0214,2024-03-19,PLACED,NORTH,0
O000452,C0202,2025-01-17,DELIVERED,WEST,0
O000453,C0426,2025-12-25,DELIVERED,EAST,0
O000454,C0497,2024-02-14,RETURNED,SOUTH,0
O000455,,2026-06-02,RETURNED,CENTRAL,1
O000456,C0196,2024-04-04,DELIVERED,NORTH,0
O000457,C0437,2024-08-01,SHIPPED,NORTH,0
O000458,C0153,2025-05-17,RETURNED,SOUTH,0
O000459,C0184,2025-11-12,CANCELLED,WEST,0
O000460,C0138,2025-07-30,SHIPPED,WEST,0
O000461,C0323,2025-03-12,SHIPPED,WEST,0
O000462,C0270,2025-10-06,CANCELLED,EAST,0
O000463,C0077,2024-05-10,RETURNED,NORTH,0
O000464,C0283,2024-03-19,CANCELLED,CENTRAL,0
O000465,C0417,2024-09-16,CANCELLED,SOUTH,0
O000466,C0403,2024-07-05,PLACED,CENTRAL,0
O000467,C0371,2025-04-10,SHIPPED,SOUTH,0
O000468,C0095,2024-03-21,RETURNED,NORTH,0
O000469,C0003,2025-02-08,RETURNED,WEST,0
O000470,C0156,2025-09-25,CANCELLED,EAST,0
O000471,C0045,2024-05-08,SHIPPED,NORTH,0
O000472,C0108,2025-05-07,RETURNED,SOUTH,0
O000473,C0045,2024-11-04,SHIPPED,WEST,0
O000474,C0494,2025-05-11,RETURNED,WEST,0
O000475,,2024-12-07,CANCELLED,CENTRAL,1
O000476,C0306,2026-01-18,RETURNED,CENTRAL,0
O000477,C0479,2025-11-25,DELIVERED,WEST,0
O000478,C0296,2024-11-19,DELIVERED,WEST,0
O000479,C0319,2025-10-23,SHIPPED,WEST,0
O000480,C0177,2025-03-24,RETURNED,WEST,0
O000481,C0068,2026-06-23,PLACED,WEST,0
O000482,C0410,2026-05-14,CANCELLED,SOUTH,0
O000483,C0089,2024-07-23,CANCELLED,EAST,0
O000484,C0121,2024-08-02,SHIPPED,SOUTH,0
O000485,C0424,2026-05-30,RETURNED,SOUTH,0
O000486,C0062,2025-07-29,DELIVERED,CENTRAL,0
O000487,C0137,2026-07-06,DELIVERED,WEST,0
O000488,C0410,2025-04-13,RETURNED,NORTH,0
O000489,,2025-07-29,PLACED,SOUTH,1
O000490,C0373,2024-10-26,SHIPPED,EAST,0
O000491,C0172,2026-04-18,DELIVERED,SOUTH,0
