item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000383,O000131,P0113,4,20.44,20
I0000384,O000132,P0328,4,44.54,15
I0000385,O000132,P0146,1,1505.34,20
I0000386,O000132,P0316,1,410.95,5
I0000387,O000132,P0263,4,2670.07,10
I0000388,O000132,P0261,2,2284.37,5
I0000389,O000133,P0276,2,2029.43,10
I0000390,O000133,P0007,1,60.33,15
I0000391,O000133,P0171,-3,599.94,5
I0000392,O000133,P0232,1,171.47,10
I0000393,O000134,P0142,2,1135.6,5
I0000394,O000135,P0329,1,809.9,15
I0000395,O000135,P0143,2,16.02,5
I0000396,O000135,P0328,1,34.88,0
I0000397,O000135,P0055,1,298.5,15
I0000398,O000135,P0463,1,241.57,10
I0000399,O000136,P0034,2,1404.15,5
I0000400,O000136,P0444,1,1639.84,5
I0000401,O000136,P0011,4,75.56,0
I0000402,O000136,P0457,3,300.28,0
I0000403,O000136,P0200,4,490.47,5
I0000404,O000137,P0455,1,395.43,0
I0000405,O000137,P0284,1,25.84,15
I0000406,O000137,P0166,2,979.08,0
I0000407,O000137,P0034,4,1656.09,10
I0000408,O000138,P0352,3,11.09,15
I0000409,O000138,P0139,3,34.19,5
I0000410,O000139,P0043,4,19.3,10
I0000411,O000140,P0471,4,77.6,10
I0000412,O000140,P0260,3,1410.26,10
I0000413,O000140,P0094,1,345.08,10
I0000414,O000140,P0142,3,1563.84,0
I0000415,O000141,P0413,2,589.3,5
I0000416,O000141,P0313,1,23.95,5
I0000417,O000141,P0113,2,18.04,5
I0000418,O000142,P0406,4,117.47,15
I0000419,O000142,P0115,1,321.89,10
I0000420,O000142,P0268,3,169.27,5
I0000421,O000142,P0348,4,289.68,10
I0000422,O000143,P0012,2,312.02,10
I0000423,O000143,P0195,1,244.76,20
I0000424,O000143,P0387,1,50.23,15
I0000425,O000143,P0102,4,480.53,5
I0000426,O000144,P0480,4,1723.5,15
I0000427,O000144,P0216,4,199.04,15
I0000428,O000144,P0269,3,739.7,5
I0000429,O000145,P0409,2,703.67,5
I0000430,O000146,P0232,3,161.28,15
I0000431,O000146,P0171,3,489.55,5
I0000432,O000146,P0449,3,31.88,10
I0000433,O000147,P0352,1,13.12,0
I0000434,O000147,P0193,4,44.16,5
I0000435,O000147,P0487,2,52.93,5
I0000436,O000147,P0299,-4,114.74,5
I0000437,O000147,P0409,1,681.02,5
I0000438,O000148,P0468,1,1946.83,15
I0000439,O000148,P0087,1,168.11,20
I0000440,O000148,P0197,1,202.22,0
I0000441,O000148,P0469,-4,995.95,15
I0000442,O000149,P0340,3,802.79,10
I0000443,O000149,P0058,2,715.78,15
I0000444,O000149,P0287,2,315.4,0
I0000445,O000149,P0029,2,58.82,10
I0000446,O000149,P0241,4,655.35,15
I0000447,O000150,P0063,1,1711.59,20
I0000448,O000150,P0307,2,352.63,5
I0000449,O000150,P0159,2,106.01,5
I0000450,O000150,P0230,1,1322.5,5
I0000451,O000150,P0279,1,815.94,20
I0000452,O000151,P0060,2,158.58,5
I0000453,O000151,P0053,3,1484.35,0
I0000454,O000151,P0309,2,1490.0,0
I0000455,O000152,P0279,1,848.22,15
I0000456,O000152,P0335,0,1489.87,10
I0000457,O000153,P0316,2,405.4,0
I0000458,O000153,P0081,3,32.99,20
I0000459,O000153,P0459,3,138.9,5
I0000460,O000153,P0096,3,110.41,0
I0000461,O000154,P0249,3,154.85,10
I0000462,O000155,P0203,1,131.93,20
I0000463,O000155,P0500,3,51.6,5
I0000464,O000155,P0173,1,263.29,15
I0000465,O000155,P0186,2,221.76,0
I0000466,O000155,P0006,3,169.11,5
I0000467,O000156,P0221,1,74.07,10
I0000468,O000156,P0296,3,680.76,10
I0000469,O000156,P0149,3,51.59,0
I0000470,O000157,P0011,-2,61.64,15
I0000471,O000157,P0477,4,31.25,20
I0000472,O000157,P0234,1,803.42,20
I0000473,O000157,P0243,1,1261.16,0
I0000474,O000157,P0345,3,14.24,20
I0000475,O000158,P0426,4,49.66,5
I0000476,O000158,P0497,4,772.36,0
I0000477,O000158,P0117,4,1344.54,0
I0000478,O000158,P0364,4,66.94,20
I0000479,O000158,P0033,3,2551.49,10
I0000480,O000159,P0322,1,983.02,20
I0000481,O000159,P0218,3,2501.36,15
I0000482,O000160,P0020,1,62.03,5
I0000483,O000161,P0364,3,56.88,5
I0000484,O000161,P0058,-4,627.98,5
I0000485,O000161,P0104,1,23.95,0
I0000486,O000162,P0465,3,24.73,15
I0000487,O000163,P0230,3,1240.63,10
I0000488,O000163,P0315,4,55.54,0
I0000489,O000164,P0084,4,31.94,10
I0000490,O000164,P0401,4,201.12,10
I0000491,O000164,P0193,3,48.81,10
I0000492,O000164,P0030,1,976.56,10
I0000493,O000164,P0298,3,357.02,0
I0000494,O000165,P0062,3,59.04,0
I0000495,O000165,P0166,-2,972.49,5
I0000496,O000165,P0390,1,2302.91,0
I0000497,O000165,P0019,2,541.9,5
I0000498,O000166,P0100,4,359.09,0
I0000499,O000166,P0117,-3,1508.0,15
I0000500,O000166,P0073,1,925.29,0
I0000501,O000167,P0297,3,61.95,10
I0000502,O000168,P0013,1,53.0,5
I0000503,O000168,P0283,2,66.62,10
I0000504,O000168,P0312,4,56.94,20
I0000505,O000169,P0112,3,7.8,15
I0000506,O000169,P0316,1,352.99,15
I0000507,O000169,P0474,1,26.43,10
I0000508,O000169,P0334,2,921.89,20
I0000509,O000170,P0018,1,554.26,15
I0000510,O000170,P0444,2,1357.42,5
I0000511,O000170,P0497,3,544.13,0
I0000512,O000170,P0062,2,82.46,0
I0000513,O000171,P0013,3,45.48,15
I0000514,O000171,P0160,3,11.45,15
I0000515,O000172,P0033,4,2362.85,10
I0000516,O000172,P0327,1,2604.02,20
I0000517,O_ORPHAN_517,P0064,3,17.93,0
I0000518,O000174,P0496,3,143.72,20
I0000519,O000174,P0067,4,206.69,5
I0000520,O000174,P0240,4,439.28,20
I0000521,O000174,P0104,2,18.7,20
I0000522,O000174,P0078,2,556.22,0
I0000523,O000175,P0404,3,141.3,0
I0000524,O000175,P0095,2,210.94,15
I0000525,O000175,P0475,2,32.74,5
I0000526,O000175,P0053,3,1889.54,5
I0000527,O000175,P0274,2,52.63,15
I0000528,O000176,P0258,4,23.57,15
I0000529,O000176,P0307,4,504.8,10
I0000530,O000177,P0128,4,45.03,0
I0000531,O000178,P0325,3,19.99,20
I0000532,O000178,P0285,2,161.42,20
I0000533,O000178,P0304,4,8.34,5
I0000534,O000178,P0225,3,159.95,15
I0000535,O000178,P0410,2,195.9,0
I0000536,O000179,P0348,4,293.66,0
I0000537,O000180,P0455,3,413.36,0
I0000538,O000180,P0288,4,33.02,20
I0000539,O000180,P0110,4,13.52,15
I0000540,O000180,P0232,-4,147.55,15
I0000541,O000180,P0352,1,11.19,15
I0000542,O000181,P0396,1,1961.3,20
I0000543,O000181,P0213,2,2374.85,15
I0000544,O000181,P0044,3,34.87,10
I0000545,O000182,P0186,3,229.12,20
I0000546,O000182,P0476,2,233.91,10
I0000547,O000182,P0389,4,447.93,5
I0000548,O000182,P0427,4,8.54,5
I0000549,O000182,P0317,1,92.38,0
I0000550,O000183,P0107,-3,500.85,20
I0000551,O000183,P0110,1,11.96,15
I0000552,O000183,P0263,3,2731.7,0
I0000553,O000183,P0315,4,71.2,0
I0000554,O000184,P0320,1,97.12,20
I0000555,O000184,P0188,2,24.85,0
I0000556,O000185,P0187,3,637.36,5
I0000557,O000185,P0351,4,2302.02,0
I0000558,O_ORPHAN_558,P0173,4,351.71,10
I0000559,O000186,P0383,4,32.1,15
I0000560,O000187,P0100,4,531.65,0
I0000561,O000187,P0192,4,44.2,0
I0000562,O000187,P0354,4,19.11,15
I0000563,O000188,P0202,4,73.53,10
I0000564,O000188,P0100,2,398.36,10
I0000565,O000188,P0205,1,111.25,0
I0000566,O000189,P0148,1,290.9,5
I0000567,O000190,P0071,4,134.5,20
I0000568,O000191,P0081,2,43.01,20
I0000569,O000191,P0482,2,156.5,5
I0000570,O000192,P0311,1,54.83,15
I0000571,O000192,P0437,4,85.98,5
I0000572,O000192,P0179,2,462.43,0
I0000573,O000192,P0027,2,111.04,15
I0000574,O000193,P0412,2,614.56,5
I0000575,O000193,P0240,4,414.25,10
I0000576,O000193,P0068,3,23.14,0
I0000577,O000194,P0462,2,63.43,20
I0000578,O000194,P0121,4,868.33,20
I0000579,O000194,P0299,1,109.02,15
I0000580,O000195,P0063,2,1700.27,0
I0000581,O000195,P0028,3,133.81,10
I0000582,O000195,P0154,2,34.09,15
I0000583,O000196,P0282,1,1759.91,0
I0000584,O000196,P0130,1,50.02,20
I0000585,O000197,P0161,1,56.49,0
I0000586,O000197,P0246,4,871.98,0
I0000587,O000198,P0322,3,816.31,15
I0000588,O000198,P0245,3,9.69,15
I0000589,O000198,P0399,4,625.56,15
I0000590,O000198,P0211,2,1496.61,20
I0000591,O000198,P0006,2,245.07,15
I0000592,O000199,P0156,3,721.29,10
I0000593,O000199,P0016,2,211.66,10
I0000594,O000199,P0495,3,247.6,5
I0000595,O000199,P0464,1,551.88,5
I0000596,O000200,P0084,1,28.87,20
I0000597,O000200,P0198,3,64.07,15
I0000598,O000200,P0020,2,61.48,5
I0000599,O000200,P0154,3,30.22,0
I0000600,O000200,P0354,2,14.96,20
I0000601,O000201,P0246,2,868.44,5
I0000602,O000201,P0316,-2,392.36,20
I0000603,O000202,P0043,2,23.18,10
I0000604,O000202,P0110,3,9.97,15
I0000605,O000202,P0189,2,900.49,15
I0000606,O000202,P0220,2,819.38,0
I0000607,O000203,P0233,4,1687.12,0
I0000608,O000203,P0263,1,2618.18,5
I0000609,O000203,P0418,2,868.24,15
I0000610,O000203,P0217,1,80.82,20
I0000611,O000204,P0146,4,1852.55,0
I0000612,O000204,P0238,1,2057.41,10
I0000613,O000204,P0496,3,150.13,10
I0000614,O000204,P0365,2,49.38,20
I0000615,O000204,P0050,3,261.37,15
I0000616,O000205,P0119,3,433.51,5
I0000617,O000206,P0281,3,497.25,0
I0000618,O000206,P0375,1,2059.03,0
I0000619,O000207,P0351,1,1733.65,5
I0000620,O000207,P0108,2,1756.75,5
I0000621,O000207,P0364,3,55.4,15
I0000622,O000208,P0191,3,191.72,15
I0000623,O000208,P0118,3,524.57,0
I0000624,O000208,P0259,4,57.19,20
I0000625,O000208,P0438,3,489.68,20
I0000626,O000209,P0288,4,39.04,20
I0000627,O000210,P0427,3,7.35,15
I0000628,O000211,P0002,2,79.93,20
I0000629,O000211,P0232,1,169.35,20
I0000630,O000211,P0175,2,637.24,15
I0000631,O000211,P0237,2,23.25,15
I0000632,O000212,P0098,1,28.23,10
I0000633,O000212,P0245,1,8.05,0
I0000634,O000212,P0001,2,442.82,5
I0000635,O000212,P0349,1,103.37,20
I0000636,O000213,P0043,4,28.6,15
I0000637,O000213,P0356,3,2712.6,10
I0000638,O000213,P0013,1,47.31,5
I0000639,O000213,P0041,2,93.3,10
I0000640,O000214,P0152,4,435.83,10
I0000641,O000214,P0412,2,547.09,15
I0000642,O000214,P0196,3,69.78,15
I0000643,O000214,P0032,2,521.98,15
I0000644,O000215,P0063,1,1703.05,5
I0000645,O000215,P0242,1,59.75,0
I0000646,O000215,P0139,4,32.54,20
I0000647,O000216,P0011,2,83.13,15
I0000648,O000216,P0373,4,666.07,0
I0000649,O000216,P0317,2,107.56,15
I0000650,O000216,P0162,1,36.33,10
I0000651,O000216,P0109,-2,223.54,110
I0000652,O000217,P0179,4,441.8,20
I0000653,O000217,P0486,2,1275.71,0
I0000654,O000217,P0325,2,19.82,10
