order_id,customer_id,order_date,status,region_code
O000080,C0247,2024-04-29,SHIPPED,EAST
O000081,C0212,27-12-2024,DELIVERED,WEST
O000082,C0345,2026-02-05,PLACED,SOUTH
O000083,C0458,2025-08-10,CANCELLED,SOUTH
O000084,C0121,2026-01-23,RETURNED,EAST
O000085,C0080,2026-03-08,RETURNED,NORTH
O000086,C0392,2026-05-27,CANCELLED,CENTRAL
O000087,C0445,2024-10-08,SHIPPED,CENTRAL
O000088,C0066,2024-02-25,PLACED,WEST
O000089,C0441,2025-12-03,PLACED,NORTH
O000090,C0007,2025-11-21,PLACED,SOUTH
O000091,C0281,2024-09-26,CANCELLED,WEST
O000092,C0108,2025-03-05,SHIPPED,CENTRAL
O000093,C0068,2025-08-12,RETURNED,WEST
O000094,C0439,2025-01-25,DELIVERED,SOUTH
O000095,C0216,2025-05-26,PLACED,WEST
O000096,C0154,2024-09-13,DELIVERED,SOUTH
O000097,C0417,2024-09-17,PLACED,EAST
O000098,C0287,2025-07-24,RETURNED,SOUTH
O000099,C0296,2025-08-12,PLACED,CENTRAL
O000100,C0250,2026-03-04,SHIPPED,SOUTH
O000101,C0328,2026-04-07,DELIVERED,NORTH
O000102,C0083,2024-12-17,CANCELLED,EAST
O000103,C0455,2025-03-31,CANCELLED,WEST
O000104,C0086,2024-07-07,DELIVERED,SOUTH
O000105,C0086,2025-02-10,DELIVERED,WEST
O000106,C0269,2026-02-22,CANCELLED,EAST
O000107,C0118,2024-09-10,SHIPPED,NORTH
O000108,C0018,2025-11-10,RETURNED,EAST
O000109,C0281,2025-03-31,CANCELLED,CENTRAL
O000110,C0223,2025-06-20,SHIPPED,NORTH
O000111,C0227,bad-date,SHIPPED,EAST
O000112,C0147,2025-04-25,PLACED,NORTH
O000113,C0393,2025-03-16,SHIPPED,WEST
O000114,C0452,2025-07-28,CANCELLED,SOUTH
O000115,C0135,2024-03-22,PLACED,EAST
O000116,C0333,2026-01-30,SHIPPED,EAST
O000117,C0057,2025-10-14,PLACED,NORTH
O000118,C0078,20-02-2024,SHIPPED,WEST
O000119,C0373,2024-01-09,PLACED,WEST
O000120,C0191,19-04-2025,SHIPPED,NORTH
O000121,C0137,2026-03-05,PLACED,WEST
O000122,C0425,2024-01-13,CANCELLED,SOUTH
O000123,C0378,2024-02-04,SHIPPED,WEST
O000124,C0200,2025-11-28,RETURNED,CENTRAL
O000125,C0063,2024-09-16,SHIPPED,NORTH
O000126,C0121,10-10-2025,CANCELLED,SOUTH
O000127,C0005,2024-02-13,DELIVERED,SOUTH
O000128,C0081,2025-05-26,DELIVERED,NORTH
O000129,C0183,2025-10-22,PLACED,CENTRAL
O000130,C0404,2025-10-22,CANCELLED,EAST
O000131,C0371,17-05-2024,RETURNED,WEST
O000132,C0098,2025-08-03,RETURNED,CENTRAL
O000133,C0083,2024-03-11,CANCELLED,NORTH
O000134,C0398,2025-10-15,PLACED,CENTRAL
O000135,C0123,2024-11-24,RETURNED,WEST
O000136,C0393,2025-07-18,DELIVERED,CENTRAL
O000137,,2024-03-09,SHIPPED,NORTH
O000138,C0017,2025-08-07,RETURNED,EAST
O000139,C0026,2025-01-10,CANCELLED,NORTH
O000140,C0240,2026-03-31,PLACED,NORTH
O000141,C0422,2025-09-23,SHIPPED,CENTRAL
O000142,C0050,2024-04-13,SHIPPED,CENTRAL
O000143,C0321,2024-07-02,RETURNED,EAST
O000144,C0346,2025-04-14,RETURNED,WEST
O000145,C0259,2024-12-11,PLACED,CENTRAL
O000146,C0167,2026-05-15,RETURNED,SOUTH
O000147,C0289,2025-07-12,CANCELLED,WEST
O000148,,2025-02-10,PLACED,NORTH
O000149,C0154,2024-08-15,PLACED,CENTRAL
O000150,C0262,2025-07-23,SHIPPED,SOUTH
O000151,C0136,2025-01-10,RETURNED,WEST
O000152,C0292,2024-08-10,RETURNED,NORTH
O000153,C0305,2025-10-19,DELIVERED,EAST
O000154,C0179,2026-06-19,SHIPPED,CENTRAL
O000155,C0476,2024-01-12,PLACED,CENTRAL
O000156,C0290,2024-06-02,CANCELLED,WEST
O000157,C0386,2025-09-01,SHIPPED,SOUTH
O000158,C0173,2024-03-25,CANCELLED,CENTRAL
O000159,C0223,2026-03-03,CANCELLED,CENTRAL
O000160,C0101,2025-07-28,CANCELLED,EAST
O000161,C0351,2025-08-12,PLACED,EAST
O000162,NULL,2025-11-02,CANCELLED,CENTRAL
O000163,,2025-03-27,DELIVERED,NORTH
O000164,C0379,2024-02-25,PLACED,NORTH
O000165,C0176,2025-12-11,RETURNED,SOUTH
O000166,C0105,2025-07-13,SHIPPED,NORTH
O000167,C0193,2025-08-19,SHIPPED,CENTRAL
O000168,C0139,2024-02-24,PLACED,NORTH
O000169,C0010,2024-10-26,DELIVERED,EAST
O000170,C0249,2026-06-06,RETURNED,NORTH
O000171,C0021,2024-09-10,DELIVERED,EAST
O000172,C0351,2024-12-26,PLACED,NORTH
O000173,C0321,2024-09-20,RETURNED,EAST
O000174,C0116,2024-06-04,RETURNED,CENTRAL
O000175,C0447,2025-10-02,PLACED,CENTRAL
O000176,C0169,2025-04-04,SHIPPED,SOUTH
O000177,C0159,2025-12-06,SHIPPED,CENTRAL
O000178,C0470,2024-06-10,PLACED,SOUTH
O000179,C0373,2024-01-31,CANCELLED,EAST
O000180,C0078,2026-03-08,RETURNED,EAST
O000181,C0311,2025-08-03,DELIVERED,WEST
O000182,C0069,2025-05-29,CANCELLED,WEST
O000183,C0243,2024-05-20,PLACED,WEST
O000184,C0114,2026-01-30,CANCELLED,CENTRAL
O000185,C0251,2025-12-05,DELIVERED,CENTRAL
O000186,C0377,2026-04-24,RETURNED,CENTRAL
O000187,C0269,2025-10-18,DELIVERED,SOUTH
O000188,C0266,2025-07-04,DELIVERED,SOUTH
O000189,C0150,2025-03-26,CANCELLED,EAST
O000190,C0314,2024-02-25,DELIVERED,CENTRAL
O000191,C0058,2024-07-03,CANCELLED,EAST
O000192,C0231,2024-01-26,CANCELLED,NORTH
O000193,C0129,2024-11-27,DELIVERED,NORTH
O000194,C0059,2025-12-24,RETURNED,CENTRAL
O000195,C0487,2024-06-12,RETURNED,SOUTH
O000196,C0084,2026-06-08,CANCELLED,EAST
O000197,C0321,2024-07-04,PLACED,NORTH
O000198,C0235,2025-05-24,SHIPPED,SOUTH
O000199,C0302,2025-11-06,SHIPPED,CENTRAL
O000200,C0143,2025-09-26,DELIVERED,EAST
O000201,C0019,2024-05-28,DELIVERED,NORTH
O000202,C0056,2025-03-02,RETURNED,CENTRAL
O000203,C0404,2025-07-29,DELIVERED,EAST
O000204,C0166,2025-01-12,DELIVERED,EAST
O000205,C0242,2024-05-17,SHIPPED,SOUTH
O000206,C0314,2024-02-29,CANCELLED,CENTRAL
O000207,C0479,2026-03-18,RETURNED,CENTRAL
O000208,C0320,2024-12-28,CANCELLED,WEST
O000209,C0414,2024-07-03,DELIVERED,NORTH
O000210,C0239,2025-10-02,CANCELLED,WEST
O000211,C0024,2024-12-07,PLACED,EAST
O000212,C0405,2024-03-10,PLACED,EAST
O000213,C0203,2026-01-11,PLACED,WEST
O000214,C0470,2025-04-30,RETURNED,EAST
O000215,C0237,2026-03-13,RETURNED,EAST
O000216,None,2025-07-02,PLACED,NORTH
O000217,C0497,01-06-2024,SHIPPED,CENTRAL
O000218,C0311,2025-02-02,PLACED,NORTH
O000219,C0140,2025-02-27,PLACED,SOUTH
O000220,C0269,2024-11-05,DELIVERED,WEST
O000221,C0260,2024-01-26,CANCELLED,CENTRAL
O000222,C0159,2026-03-05,RETURNED,SOUTH
O000223,NULL,2026-01-11,DELIVERED,CENTRAL
O000224,C0447,2024-03-30,PLACED,NORTH
O000225,C0296,2026-02-15,PLACED,CENTRAL
O000226,C0164,2026-03-02,DELIVERED,CENTRAL
O000227,C0287,2025-06-10,PLACED,CENTRAL
O000228,C0126,2024-06-24,SHIPPED,NORTH
O000229,C0242,2026-07-13,SHIPPED,CENTRAL
O000230,C0457,2025-08-29,PLACED,SOUTH
O000231,C0366,2026-02-15,CANCELLED,CENTRAL
O000232,C0068,2024-04-05,CANCELLED,WEST
O000233,C0119,2024-08-17,SHIPPED,EAST
O000234,C0404,2026-05-31,PLACED,WEST
O000235,C0237,2026-05-16,DELIVERED,WEST
O000236,C0419,2026-01-01,RETURNED,WEST
O000237,C0206,2025-08-27,CANCELLED,NORTH
O000238,C0175,2024-08-01,PLACED,CENTRAL
O000239,C0356,2024-08-29,CANCELLED,NORTH
O000240,C0304,2025-09-02,CANCELLED,NORTH
O000241,C0307,2024-04-21,DELIVERED,NORTH
O000242,C0112,2026-04-16,SHIPPED,SOUTH
O000243,C0232,2025-06-28,PLACED,EAST
O000244,C0292,2026-03-24,PLACED,NORTH
O000245,C0299,2024-01-09,DELIVERED,EAST
O000246,C0462,16-07-2025,DELIVERED,EAST
O000247,C0444,2024-02-01,CANCELLED,WEST
O000248,C0196,2025-03-21,CANCELLED,EAST
O000249,C0431,2025-03-03,DELIVERED,NORTH
O000250,C0074,2026-01-08,SHIPPED,WEST
O000251,C0441,2025-04-11,CANCELLED,CENTRAL
O000252,C0218,2025-07-19,DELIVERED,CENTRAL
O000253,C0256,2026-05-17,RETURNED,EAST
O000254,C0018,2024-02-08,DELIVERED,SOUTH
O000255,C0374,2026-01-18,RETURNED,NORTH
O000256,C0268,2026-06-30,DELIVERED,CENTRAL
O000257,C0409,2025-08-16,CANCELLED,WEST
O000258,C0263,2025-04-25,PLACED,EAST
O000259,C0086,2024-02-06,PLACED,NORTH
O000260,C0323,2025-04-29,RETURNED,NORTH
O000261,C0147,2025-05-11,SHIPPED,CENTRAL
O000262,C0144,08-10-2024,RETURNED,SOUTH
O000263,C0338,2025-04-02,SHIPPED,CENTRAL
O000264,C0442,2024-02-03,SHIPPED,WEST
O000265,C0386,2025-02-26,SHIPPED,CENTRAL
O000266,C0376,2026-05-12,SHIPPED,WEST
O000267,C0205,2025-05-02,CANCELLED,WEST
O000268,C0243,2024-09-25,CANCELLED,WEST
O000269,C0348,2024-11-19,PLACED,WEST
O000270,C0313,2025-10-29,RETURNED,WEST
O000271,C0237,2026-03-02,RETURNED,EAST
O000272,C0347,2025-12-07,DELIVERED,NORTH
O000273,C0211,2024-04-10,PLACED,SOUTH
O000274,C0018,2024-01-25,SHIPPED,CENTRAL
O000275,C0327,2024-05-04,RETURNED,SOUTH
O000276,C0459,2024-04-23,CANCELLED,EAST
O000277,C0394,2025-03-13,DELIVERED,EAST
O000278,C0398,2024-03-04,PLACED,SOUTH
O000279,C0226,2024-03-12,CANCELLED,NORTH
O000280,C0074,2025-07-07,PLACED,NORTH
O000281,C0018,2024-03-15,CANCELLED,SOUTH
O000282,,2025-10-17,CANCELLED,CENTRAL
O000283,C0002,2025-06-11,DELIVERED,CENTRAL
O000284,C0116,2024-01-04,RETURNED,EAST
O000285,C0171,2025-11-29,PLACED,CENTRAL
O000286,C0437,2024-12-14,SHIPPED,CENTRAL
O000287,C0021,2025-01-28,PLACED,WEST
O000288,C0044,2026-06-25,RETURNED,SOUTH
O000289,C0251,2025-02-02,CANCELLED,NORTH
O000290,C0019,2024-12-13,RETURNED,WEST
O000291,C0482,2025-11-25,DELIVERED,NORTH
O000292,C0377,24-05-2024,SHIPPED,SOUTH
O000293,C0008,2024-06-25,RETURNED,SOUTH
O000294,C0428,2025-08-28,RETURNED,SOUTH
O000295,C0033,2026-04-03,CANCELLED,EAST
O000296,C0062,2025-12-01,DELIVERED,CENTRAL
O000297,C0089,2024-12-09,PLACED,CENTRAL
O000298,C0085,2025-03-25,RETURNED,WEST
O000299,NULL,2024-06-10,RETURNED,EAST
O000300,C0214,2025-12-11,PLACED,CENTRAL
O000301,C0231,2025-02-25,CANCELLED,CENTRAL
O000302,C0487,2024-03-31,SHIPPED,SOUTH
O000303,C0061,2025-06-26,RETURNED,SOUTH
O000304,C0238,2026-02-27,SHIPPED,WEST
O000305,C0255,2024-06-29,SHIPPED,WEST
O000306,C0129,2024-12-08,DELIVERED,CENTRAL
O000307,C0091,2024-06-10,CANCELLED,CENTRAL
O000308,C0297,2024-11-29,DELIVERED,EAST
O000309,C0117,2024-04-10,DELIVERED,WEST
O000310,C0300,2025-05-11,SHIPPED,WEST
O000311,C0192,2024-05-19,PLACED,SOUTH
O000312,C0017,2025-12-09,CANCELLED,SOUTH
O000313,C0390,2024-12-17,RETURNED,SOUTH
O000314,C0296,2025-07-20,SHIPPED,CENTRAL
O000315,C0243,07-05-2026,SHIPPED,EAST
O000316,C0223,2025-08-16,DELIVERED,WEST
O000317,C0023,2024-02-11,CANCELLED,WEST
O000318,C0415,2026-03-28,DELIVERED,WEST
O000319,C0487,2024-08-11,CANCELLED,EAST
O000320,C0083,2025-12-21,CANCELLED,SOUTH
O000321,C0448,2025-12-21,DELIVERED,NORTH
O000322,C0198,2026-07-03,RETURNED,CENTRAL
O000323,C0295,2026-03-24,DELIVERED,CENTRAL
O000324,C0485,2025-11-21,DELIVERED,EAST
O000325,C0188,2024-06-28,SHIPPED,EAST
O000326,C0123,2025-07-06,SHIPPED,SOUTH
O000327,C0165,2024-12-27,PLACED,EAST
O000328,C0232,2025-05-12,RETURNED,EAST
O000329,C0232,2025-09-27,DELIVERED,SOUTH
O000330,C0457,2026-06-24,DELIVERED,NORTH
O000331,C0085,2024-10-09,DELIVERED,EAST
O000332,C0214,2025-11-29,DELIVERED,EAST
O000333,,2024-03-05,RETURNED,EAST
O000334,C0336,2025-10-23,RETURNED,WEST
O000335,C0235,2024-11-07,SHIPPED,WEST
O000336,C0191,2024-10-22,SHIPPED,CENTRAL
O000337,C0474,2024-06-13,SHIPPED,SOUTH
O000338,NULL,2024-04-29,SHIPPED,CENTRAL
O000339,C0363,2024-02-05,SHIPPED,CENTRAL
O000340,C0155,2024-05-04,CANCELLED,EAST
O000341,C0080,2024-01-05,PLACED,WEST
O000342,C0459,2024-10-23,RETURNED,WEST
O000343,C0174,2025-12-06,DELIVERED,EAST
O000344,C0013,2025-02-15,RETURNED,SOUTH
O000345,C0299,2025-06-23,RETURNED,WEST
O000346,C0347,2025-11-18,RETURNED,CENTRAL
O000347,C0262,2024-02-27,PLACED,WEST
O000348,C0191,2024-01-13,DELIVERED,SOUTH
O000349,C0373,2026-06-28,CANCELLED,WEST
O000350,C0072,2026-05-05,RETURNED,EAST
O000351,C0034,2025-08-27,CANCELLED,SOUTH
O000352,C0285,2025-04-18,CANCELLED,EAST
O000353,NULL,2025-05-17,CANCELLED,SOUTH
O000354,NULL,2026-03-21,DELIVERED,EAST
O000355,C0214,2024-07-02,PLACED,WEST
O000356,C0497,2024-03-09,PLACED,WEST
O000357,C0499,2025-12-11,PLACED,SOUTH
O000358,C0298,2024-02-29,DELIVERED,EAST
O000359,C0185,2025-03-05,DELIVERED,CENTRAL
O000360,C0100,2026-02-23,PLACED,EAST
O000361,C0424,2026-05-15,DELIVERED,CENTRAL
O000362,C0297,26-12-2024,CANCELLED,WEST
O000363,C0175,2024-06-15,RETURNED,CENTRAL
O000364,C0354,2026-05-01,DELIVERED,WEST
O000365,C0236,2024-03-19,PLACED,SOUTH
O000366,C0419,2025-03-28,PLACED,NORTH
O000367,C0382,2026-04-14,PLACED,SOUTH
O000368,C0108,2024-05-13,DELIVERED,WEST
O000369,,17-03-2025,CANCELLED,NORTH
O000370,NULL,2024-09-16,RETURNED,SOUTH
O000371,C0301,2026-07-11,PLACED,CENTRAL
O000372,C0179,2024-12-26,RETURNED,NORTH
O000373,C0051,19-04-2026,PLACED,SOUTH
O000374,C0462,2026-02-11,RETURNED,WEST
O000375,C0188,2025-12-15,PLACED,WEST
O000376,C0218,2024-08-07,CANCELLED,NORTH
O000377,C0267,2024-05-19,DELIVERED,EAST
O000378,C0253,2024-04-28,CANCELLED,SOUTH
O000379,C0284,2025-02-21,CANCELLED,EAST
O000380,C0092,2024-01-14,DELIVERED,NORTH
O000381,C0074,2025-02-08,SHIPPED,NORTH
O000382,C0187,2024-07-22,CANCELLED,WEST
O000383,C0143,2026-02-22,CANCELLED,EAST
O000384,C0244,2025-11-13,CANCELLED,NORTH
O000385,C0063,2024-09-13,DELIVERED,NORTH
O000386,,2025-11-25,RETURNED,CENTRAL
O000387,C0050,2026-02-17,SHIPPED,EAST
O000388,C0339,2025-05-24,RETURNED,NORTH
O000389,NULL,2026-02-21,CANCELLED,WEST
O000390,None,2024-02-06,SHIPPED,WEST
O000391,C0221,2024-05-17,CANCELLED,CENTRAL
O000392,C0351,2025-07-06,CANCELLED,EAST
O000393,C0254,2025-08-28,PLACED,NORTH
O000394,NULL,2025-08-27,PLACED,WEST
O000395,C0050,2025-03-14,SHIPPED,SOUTH
O000396,C0332,2024-11-15,PLACED,SOUTH
O000397,C0011,2025-07-05,CANCELLED,EAST
O000398,C0011,13-12-2025,PLACED,CENTRAL
O000399,C0051,2026-04-07,PLACED,SOUTH
O000400,C0315,2024-11-02,DELIVERED,CENTRAL
O000401,C0110,2024-10-21,RETURNED,NORTH
O000402,C0368,2026-05-14,RETURNED,WEST
O000403,C0219,2024-08-02,PLACED,WEST
O000404,C0340,2025-07-06,RETURNED,SOUTH
O000405,C0452,2024-01-20,CANCELLED,EAST
O000406,C0480,2025-10-15,RETURNED,NORTH
O000407,C0268,2024-07-24,PLACED,WEST
O000408,C0211,2024-11-22,PLACED,EAST
O000409,C0331,2024-06-13,SHIPPED,NORTH
O000410,C0126,2026-03-27,DELIVERED,SOUTH
O000411,C0082,2024-10-06,SHIPPED,NORTH
O000412,C0494,09-01-2026,RETURNED,EAST
O000413,C0444,2024-03-06,DELIVERED,WEST
O000414,C0483,2026-05-09,DELIVERED,CENTRAL
O000415,C0341,2026-04-28,DELIVERED,SOUTH
O000416,C0308,2024-05-05,SHIPPED,WEST
O000417,C0112,2024-05-27,RETURNED,NORTH
O000418,C0252,2025-06-30,SHIPPED,EAST
O000419,C0451,2026-03-14,DELIVERED,CENTRAL
O000420,C0018,2026-05-11,SHIPPED,EAST
O000421,C0283,2025-01-28,DELIVERED,CENTRAL
O000422,C0444,2024-08-30,PLACED,EAST
O000423,C0047,2026-04-22,CANCELLED,EAST
O000424,C0451,2026-04-11,CANCELLED,WEST
O000425,C0378,2025-02-26,DELIVERED,SOUTH
O000426,C0358,2024-09-24,PLACED,WEST
O000427,C0356,2024-01-29,SHIPPED,NORTH
O000428,C0206,2024-07-23,RETURNED,SOUTH
O000429,C0434,2025-08-31,SHIPPED,EAST
O000430,C0089,2025-12-04,PLACED,SOUTH
O000431,C0202,2026-06-16,DELIVERED,CENTRAL
O000432,C0332,2025-09-18,SHIPPED,NORTH
O000433,C0206,2025-09-24,RETURNED,NORTH
O000434,C0008,2026-01-05,CANCELLED,NORTH
O000435,C0115,2025-12-31,CANCELLED,WEST
O000436,C0067,2025-03-17,SHIPPED,WEST
O000437,C0093,22-02-2025,CANCELLED,SOUTH
O000438,C0190,2025-08-19,PLACED,WEST
O000439,C0352,2024-08-05,DELIVERED,CENTRAL
O000440,C0031,2024-02-23,RETURNED,NORTH
O000441,C0003,2024-09-16,SHIPPED,CENTRAL
O000442,C0022,2025-08-17,CANCELLED,SOUTH
O000443,C0046,2024-11-20,SHIPPED,WEST
O000444,C0447,2026-05-04,PLACED,CENTRAL
O000445,C0425,2026-02-18,CANCELLED,SOUTH
O000446,C0285,2026-05-23,DELIVERED,SOUTH
O000447,C0094,2024-02-06,CANCELLED,NORTH
O000448,C0227,2024-12-31,SHIPPED,NORTH
O000449,C0179,2024-04-05,PLACED,CENTRAL
O000450,C0457,2025-11-10,RETURNED,SOUTH
O000451,C0214,2024-03-19,PLACED,NORTH
O000452,C0202,2025-01-17,DELIVERED,WEST
O000453,C0426,2025-12-25,DELIVERED,EAST
O000454,C0497,2024-02-14,RETURNED,SOUTH
O000455,None,2026-06-02,RETURNED,CENTRAL
O000456,C0196,2024-04-04,DELIVERED,NORTH
O000457,C0437,2024-08-01,SHIPPED,NORTH
O000458,C0153,2025-05-17,RETURNED,SOUTH
O000459,C0184,2025-11-12,CANCELLED,WEST
O000460,C0138,2025-07-30,SHIPPED,WEST
O000461,C0323,2025-03-12,SHIPPED,WEST
O000462,C0270,2025-10-06,CANCELLED,EAST
O000463,C0077,2024-05-10,RETURNED,NORTH
O000464,C0283,2024-03-19,CANCELLED,CENTRAL
O000465,C0417,2024-09-16,CANCELLED,SOUTH
O000466,C0403,2024-07-05,PLACED,CENTRAL
O000467,C0371,2025-04-10,SHIPPED,SOUTH
O000468,C0095,2024-03-21,RETURNED,NORTH
O000469,C0003,2025-02-08,RETURNED,WEST
O000470,C0156,2025-09-25,CANCELLED,EAST
O000471,C0045,2024-05-08,SHIPPED,NORTH
O000472,C0108,2025-05-07,RETURNED,SOUTH
O000473,C0045,2024-11-04,SHIPPED,WEST
O000474,C0494,2025-05-11,RETURNED,WEST
O000475,None,2024-12-07,CANCELLED,CENTRAL
O000476,C0306,2026-01-18,RETURNED,CENTRAL
O000477,C0479,2025-11-25,DELIVERED,WEST
O000478,C0296,2024-11-19,DELIVERED,WEST
O000479,C0319,2025-10-23,SHIPPED,WEST
O000480,C0177,2025-03-24,RETURNED,WEST
O000481,C0068,2026-06-23,PLACED,WEST
O000482,C0410,2026-05-14,CANCELLED,SOUTH
O000483,C0089,2024-07-23,CANCELLED,EAST
O000484,C0121,2024-08-02,SHIPPED,SOUTH
O000485,C0424,30-05-2026,RETURNED,SOUTH
O000486,C0062,2025-07-29,DELIVERED,CENTRAL
O000487,C0137,2026-07-06,DELIVERED,WEST
O000488,C0410,2025-04-13,RETURNED,NORTH
O000489,,2025-07-29,PLACED,SOUTH
O000490,C0373,2024-10-26,SHIPPED,EAST
O000491,C0172,2026-04-18,DELIVERED,SOUTH
O000492,C0428,2026-04-08,CANCELLED,EAST
O000493,C0323,2025-11-11,SHIPPED,WEST
O000494,C0212,2025-02-23,DELIVERED,WEST
O000495,None,2026-02-27,SHIPPED,WEST
O000496,C0032,2025-02-06,DELIVERED,CENTRAL
O000497,C0499,2024-10-29,PLACED,EAST
O000498,C0005,2026-04-26,CANCELLED,SOUTH
O000499,C0455,2025-07-11,CANCELLED,SOUTH
O000500,C0452,2024-11-04,SHIPPED,CENTRAL
O000501,C0277,2024-10-17,SHIPPED,NORTH
O000502,C0015,2026-06-30,CANCELLED,CENTRAL
O000503,C0057,2026-01-19,DELIVERED,NORTH
O000504,C0230,01-11-2024,RETURNED,CENTRAL
O000505,C0366,2026-07-04,PLACED,EAST
O000506,C0342,2026-03-14,SHIPPED,NORTH
O000507,C0168,2025-06-12,CANCELLED,WEST
O000508,C0042,2024-04-04,PLACED,CENTRAL
O000509,C0207,2025-08-25,CANCELLED,WEST
O000510,C0353,2025-05-16,CANCELLED,WEST
O000511,C0067,2025-12-22,DELIVERED,SOUTH
O000512,C0484,2025-07-26,DELIVERED,EAST
O000513,,2024-10-23,PLACED,WEST
O000514,C0015,2026-03-21,PLACED,EAST
O000515,C0111,2024-07-06,DELIVERED,WEST
O000516,C0247,2025-08-09,RETURNED,SOUTH
O000517,C0391,2024-05-21,PLACED,NORTH
O000518,C0410,2025-10-01,RETURNED,NORTH
O000519,C0491,2025-11-17,DELIVERED,CENTRAL
O000520,C0323,2026-03-26,DELIVERED,SOUTH
O000521,C0490,2025-09-25,CANCELLED,CENTRAL
O000522,C0460,2024-01-20,SHIPPED,SOUTH
O000523,C0425,2025-12-23,PLACED,WEST
O000524,C0302,2024-02-16,DELIVERED,CENTRAL
O000525,C0163,2025-01-26,SHIPPED,SOUTH
O000526,C0131,2026-02-25,RETURNED,EAST
