user_id,transaction_date,store_id,city,region,product_category,price,age,subscription,status
U2226,2024-06-29,S017,Minneapolis,North,Furniture,27.67,25,Premium,Completed
U1084,2024-01-30,S005,Phoenix,West,Furniture,286.9,22,Basic,Completed
U2816,2024-06-11,S009,Minneapolis,North,Clothing,,18,Basic,Pending
U0181,2024-01-01,S009,Seattle,North,Furniture,,33,Basic,
U0040,2024-01-29,S018,Phoenix,West,Electronics,,34,Premium,Pending
U0523,2024-01-11,S012,Denver,North,Electronics,,37,Premium,Pending
U2294,2024-04-14,S006,New York,East,Electronics,,21,Basic,Pending
U2744,2024-03-04,S004,Seattle,North,Furniture,,43,Basic,Completed
U0818,2024-04-27,S008,Denver,North,Electronics,,28,Basic,Pending
U0285,2024-03-12,S013,Minneapolis,North,Furniture,685.93,26,Premium,Completed
U1070,2024-02-15,S020,Seattle,North,Electronics,445.87,41,Basic,Pending
U2484,2024-05-10,S007,San Diego,West,Furniture,269.63,29,Premium,
U2206,2024-06-24,S003,Boston,East,Clothing,,35,Basic,
U0511,2024-03-17,S011,Minneapolis,North,Clothing,,33,Premium,Completed
U1723,2024-06-19,S006,Miami,South,Furniture,,28,Premium,Pending
U1176,2024-02-23,S021,Miami,South,Furniture,,30,Premium,
U1939,2024-02-13,S022,San Diego,West,Furniture,,18,Premium,
U1272,2024-02-27,S002,New York,East,Electronics,,35,Premium,Pending
U1698,2024-06-10,S013,Chicago,East,Furniture,,20,Premium,Completed
U1742,2024-02-26,S015,Chicago,East,Furniture,,45,Premium,Pending
U0547,2024-04-28,S024,Denver,North,Furniture,,42,Basic,Completed
U1945,2024-04-25,S009,Seattle,North,Furniture,770.5,31,Premium,Pending
U1802,2024-01-20,S011,Seattle,North,Clothing,333.32,18,Premium,Completed
U0948,2024-04-08,S003,Chicago,East,Electronics,,33,Basic,Pending
U0256,2024-02-22,S023,Houston,South,Furniture,39.14,28,Basic,Completed
U1441,2024-03-17,S024,Houston,South,Furniture,739.94,44,Premium,Pending
U0899,2024-03-10,S013,Houston,South,Electronics,349.41,41,Basic,
U0677,2024-04-29,S001,Chicago,East,Furniture,908.79,34,Premium,Completed
U2633,2024-04-19,S002,Boston,East,Electronics,,22,Basic,Pending
U1383,2024-04-07,S003,Denver,North,Clothing,480.9,33,Premium,Pending
U0919,2024-06-15,S025,Phoenix,West,Electronics,,22,Premium,
U0625,2024-03-02,S004,Boston,East,Furniture,,30,Basic,Pending
U0688,2024-06-04,S004,Los Angeles,West,Clothing,,34,Basic,Pending
U2929,2024-02-20,S021,Phoenix,West,Furniture,257.99,40,Basic,
U2460,2024-01-31,S014,San Diego,West,Furniture,,32,Basic,Completed
U1721,2024-05-05,S021,San Diego,West,Clothing,,38,Premium,Pending
U0722,2024-05-13,S025,Minneapolis,North,Furniture,,42,Basic,Pending
U1006,2024-01-23,S025,Denver,North,Electronics,475.41,37,Basic,Pending
U0118,2024-05-06,S007,Seattle,North,Clothing,,26,Basic,
U2873,2024-03-11,S003,Phoenix,West,Electronics,,31,Premium,
U1951,2024-06-14,S003,Houston,South,Electronics,,38,Premium,Pending
U2720,2024-05-28,S017,Denver,North,Furniture,356.88,33,Basic,Pending
U2879,2024-04-26,S008,Denver,North,Clothing,,26,Premium,
U2195,2024-06-25,S024,New York,East,Electronics,494.51,34,Basic,Completed
U0796,2024-03-16,S010,Boston,East,Electronics,33.87,20,Basic,Completed
U0224,2024-05-21,S021,Minneapolis,North,Electronics,,19,Premium,
U1165,2024-04-30,S006,Houston,South,Clothing,,43,Basic,Completed
U0268,2024-04-12,S021,Dallas,South,Furniture,,20,Basic,Completed
U1017,2024-01-31,S020,Miami,South,Furniture,241.17,28,Basic,Pending
U1218,2024-05-30,S020,Houston,South,Furniture,79.03,19,Premium,
U0865,2024-03-08,S006,Los Angeles,West,Electronics,,16,Basic,Pending
U2824,2024-06-01,S008,Houston,South,Electronics,,38,Basic,Completed
U2816,2024-02-29,S022,Minneapolis,North,Furniture,,29,Premium,
U0921,2024-06-14,S003,Boston,East,Electronics,,35,Basic,Pending
U0510,2024-04-29,S009,Minneapolis,North,Clothing,,30,Premium,
U0164,2024-04-20,S001,Minneapolis,North,Clothing,109.5,42,Premium,
U1104,2024-05-27,S017,Los Angeles,West,Clothing,,21,Basic,
U2015,2024-01-24,S011,Houston,South,Clothing,,43,Premium,Pending
U1687,2024-06-26,S013,Houston,South,Furniture,817.29,17,Basic,Completed
U1289,2024-03-05,S017,Seattle,North,Clothing,,37,Basic,Pending
U0223,2024-02-18,S021,Minneapolis,North,Clothing,,22,Basic,
U0537,2024-03-14,S004,Miami,South,Clothing,48.29,35,Premium,
U0649,2024-03-20,S003,Phoenix,West,Clothing,,30,Premium,
U0631,2024-05-07,S009,Minneapolis,North,Furniture,,31,Premium,Pending
U2258,2024-02-07,S017,Dallas,South,Furniture,,43,Premium,Pending
U1700,2024-03-28,S024,Seattle,North,Clothing,312.58,34,Basic,Completed
U1830,2024-05-17,S018,Houston,South,Clothing,,30,Basic,Completed
U2857,2024-03-02,S002,Dallas,South,Clothing,,38,Basic,Pending
U2719,2024-06-15,S005,Boston,East,Electronics,512.25,26,Premium,Pending
U0409,2024-05-14,S005,Dallas,South,Furniture,421.78,20,Premium,Pending
U1086,2024-03-27,S011,Miami,South,Electronics,855.29,28,Basic,
U2944,2024-05-04,S008,Phoenix,West,Electronics,,23,Premium,Pending
U0404,2024-06-11,S023,San Diego,West,Electronics,,17,Basic,Completed
U1202,2024-04-01,S008,Denver,North,Electronics,540.54,37,Premium,Completed
U0718,2024-01-21,S008,Miami,South,Furniture,507.71,20,Premium,Pending
U2613,2024-03-06,S001,Houston,South,Furniture,,44,Basic,
U2239,2024-02-10,S019,San Diego,West,Clothing,,38,Basic,Pending
U1238,2024-02-20,S008,Houston,South,Electronics,,34,Basic,
U1210,2024-01-06,S019,Houston,South,Electronics,867.77,17,Basic,Pending
U0943,2024-06-04,S007,Seattle,North,Furniture,628.47,40,Premium,
U0398,2024-06-09,S002,San Diego,West,Clothing,587.98,20,Premium,Pending
U1339,2024-04-16,S018,New York,East,Electronics,,32,Basic,Completed
U1053,2024-05-03,S004,Minneapolis,North,Clothing,,20,Premium,
U2967,2024-06-21,S003,Miami,South,Clothing,,24,Premium,Pending
U1510,2024-06-21,S021,Minneapolis,North,Clothing,,37,Premium,Pending
U0103,2024-06-07,S021,Minneapolis,North,Electronics,,45,Basic,
U1673,2024-01-30,S010,New York,East,Electronics,,19,Premium,
U0556,2024-04-09,S024,Houston,South,Furniture,702.55,29,Premium,Pending
U2683,2024-01-26,S009,Miami,South,Clothing,,22,Basic,Pending
U0968,2024-04-02,S018,Phoenix,West,Clothing,903.66,27,Premium,Pending
U1131,2024-02-18,S022,San Diego,West,Electronics,227.86,35,Premium,Completed
U1367,2024-03-03,S003,Chicago,East,Electronics,833.22,22,Premium,Completed
U1346,2024-02-07,S005,San Diego,West,Electronics,,19,Premium,Completed
U0061,2024-04-01,S001,Chicago,East,Clothing,,20,Basic,
U0466,2024-01-17,S017,Houston,South,Clothing,,32,Premium,
U0178,2024-06-17,S001,Denver,North,Furniture,,43,Basic,Pending
U2811,2024-01-28,S003,Miami,South,Clothing,,35,Premium,Completed
U0517,2024-03-11,S017,Denver,North,Furniture,309.0,35,Basic,Completed
U2875,2024-01-30,S008,Boston,East,Clothing,,28,Basic,
U0390,2024-03-21,S009,Houston,South,Furniture,,37,Basic,Completed
U0374,2024-01-22,S024,San Diego,West,Electronics,,33,Premium,
U2301,2024-05-23,S014,Minneapolis,North,Electronics,366.53,40,Basic,
U0211,2024-03-14,S019,Denver,North,Electronics,,37,Basic,Completed
U0444,2024-03-30,S019,Seattle,North,Clothing,,43,Premium,
U2695,2024-06-26,S009,Seattle,North,Electronics,,45,Basic,Pending
U0026,2024-02-16,S013,Chicago,East,Furniture,88.19,36,Premium,Completed
U2173,2024-02-25,S011,Houston,South,Clothing,,39,Basic,
U2443,2024-01-22,S025,Los Angeles,West,Electronics,625.48,18,Basic,Pending
U2712,2024-04-18,S014,Miami,South,Clothing,287.7,19,Basic,Pending
U0455,2024-03-13,S010,Miami,South,Furniture,,35,Premium,Completed
U0838,2024-03-18,S010,New York,East,Clothing,,31,Basic,Completed
U0530,2024-04-07,S022,Chicago,East,Furniture,,28,Premium,Pending
U0077,2024-04-27,S014,San Diego,West,Furniture,581.93,36,Basic,Pending
U0472,2024-04-13,S020,San Diego,West,Electronics,470.89,45,Basic,Completed
U1789,2024-01-28,S013,Boston,East,Furniture,,43,Basic,
U1391,2024-02-26,S017,Seattle,North,Electronics,640.56,32,Premium,Pending
U1439,2024-06-14,S005,New York,East,Electronics,,35,Premium,
U0309,2024-02-15,S025,Houston,South,Furniture,587.88,45,Basic,
U1295,2024-02-08,S015,Dallas,South,Clothing,,34,Premium,Pending
U2079,2024-01-19,S002,Denver,North,Clothing,,18,Premium,
U2434,2024-05-09,S018,Houston,South,Furniture,955.15,44,Premium,Pending
U2342,2024-06-15,S016,Boston,East,Furniture,,30,Premium,Pending
U2926,2024-01-22,S023,New York,East,Electronics,,32,Premium,Pending
U1528,2024-03-13,S022,Houston,South,Clothing,605.93,36,Basic,Completed
U1351,2024-01-25,S024,Houston,South,Clothing,854.53,43,Premium,Pending
U0334,2024-05-29,S021,Boston,East,Clothing,,20,Premium,Pending
U2290,2024-04-06,S023,Seattle,North,Furniture,832.38,37,Premium,
U2747,2024-04-18,S010,Seattle,North,Clothing,,26,Basic,Completed
U0928,2024-02-05,S004,New York,East,Clothing,517.54,42,Premium,
U1380,2024-06-07,S005,Chicago,East,Clothing,179.0,40,Premium,
U1793,2024-01-12,S024,Houston,South,Furniture,,35,Basic,
U1839,2024-02-29,S007,Boston,East,Clothing,380.48,30,Basic,Pending
U1565,2024-05-08,S020,Dallas,South,Electronics,,17,Basic,Pending
U2272,2024-01-27,S025,San Diego,West,Electronics,,44,Premium,Pending
U0376,2024-02-26,S014,Houston,South,Electronics,72.19,27,Premium,Pending
U0335,2024-04-05,S004,New York,East,Clothing,842.39,26,Premium,Completed
U0157,2024-03-14,S025,Miami,South,Electronics,,35,Premium,Completed
U0078,2024-03-06,S024,New York,East,Furniture,,19,Basic,Completed
U1234,2024-02-01,S021,Los Angeles,West,Clothing,,18,Premium,Pending
U2445,2024-05-17,S019,Phoenix,West,Furniture,,25,Basic,Completed
U2519,2024-03-31,S006,Chicago,East,Clothing,,32,Basic,Completed
U2155,2024-05-19,S002,San Diego,West,Clothing,,24,Premium,Pending
U0277,2024-03-29,S021,Chicago,East,Furniture,121.59,39,Basic,Completed
U0182,2024-03-31,S025,Minneapolis,North,Electronics,690.99,31,Premium,Completed
U0259,2024-04-27,S002,San Diego,West,Electronics,,26,Basic,
U1632,2024-05-19,S025,Houston,South,Electronics,,27,Premium,
U1360,2024-03-10,S013,San Diego,West,Clothing,,26,Premium,Pending
U2835,2024-05-07,S003,Minneapolis,North,Clothing,,29,Premium,
U1204,2024-03-23,S022,Los Angeles,West,Clothing,,35,Basic,Completed
U2826,2024-04-23,S024,Denver,North,Electronics,,35,Basic,Pending
U2620,2024-01-15,S013,Phoenix,West,Furniture,376.04,37,Premium,Completed
U0585,2024-06-04,S003,Dallas,South,Electronics,251.28,27,Basic,Pending
U2324,2024-01-09,S012,Chicago,East,Clothing,,34,Premium,
U1504,2024-04-11,S008,Minneapolis,North,Clothing,,39,Premium,Pending
U2121,2024-04-09,S023,San Diego,West,Clothing,457.35,25,Basic,Completed
U0503,2024-02-04,S023,San Diego,West,Electronics,,41,Basic,
U1424,2024-01-17,S023,Denver,North,Electronics,715.37,36,Premium,Pending
U2084,2024-02-27,S008,Los Angeles,West,Electronics,,27,Basic,Pending
U2260,2024-02-03,S013,Los Angeles,West,Clothing,999.6,31,Basic,Pending
U2355,2024-01-19,S003,Boston,East,Furniture,460.98,32,Basic,Completed
U2259,2024-06-12,S017,New York,East,Clothing,,42,Premium,
U0627,2024-03-18,S023,New York,East,Clothing,240.96,44,Basic,Completed
U1027,2024-02-20,S010,Seattle,North,Furniture,,32,Premium,
U2379,2024-02-09,S024,Chicago,East,Furniture,,42,Premium,Completed
U0333,2024-01-12,S025,Minneapolis,North,Electronics,580.69,36,Premium,Pending
U2569,2024-05-19,S016,Minneapolis,North,Clothing,259.98,28,Basic,Pending
U0299,2024-06-25,S014,Los Angeles,West,Clothing,,26,Premium,Pending
U2943,2024-03-22,S025,Denver,North,Electronics,383.13,19,Basic,Completed
U1911,2024-02-01,S005,Denver,North,Electronics,,28,Basic,Completed
U0655,2024-03-24,S016,Seattle,North,Electronics,,31,Basic,Pending
U0095,2024-01-24,S008,Miami,South,Clothing,,17,Premium,Pending
U2028,2024-06-01,S001,Houston,South,Furniture,,20,Basic,
U1499,2024-04-13,S002,Seattle,North,Clothing,,27,Basic,Completed
U1583,2024-05-09,S020,Miami,South,Clothing,,20,Premium,Pending
U1529,2024-03-27,S020,Seattle,North,Electronics,518.94,17,Premium,Completed
U0562,2024-03-26,S005,Miami,South,Clothing,614.14,20,Basic,
U1305,2024-02-11,S010,Miami,South,Furniture,601.85,42,Basic,
U2306,2024-03-17,S011,Dallas,South,Clothing,,34,Basic,
U2819,2024-06-10,S009,Phoenix,West,Clothing,967.73,34,Premium,
U0211,2024-05-29,S021,Dallas,South,Furniture,,20,Premium,Completed
U2346,2024-06-28,S015,Los Angeles,West,Electronics,,29,Premium,Pending
U2056,2024-06-05,S002,Miami,South,Furniture,711.66,22,Basic,
U1960,2024-05-14,S015,Houston,South,Electronics,,33,Basic,
U2953,2024-06-23,S007,Minneapolis,North,Clothing,,33,Basic,Completed
U1220,2024-03-14,S016,Chicago,East,Furniture,,33,Basic,Pending
U0500,2024-05-26,S025,Houston,South,Clothing,,17,Basic,
U0324,2024-03-29,S024,Miami,South,Clothing,,42,Basic,
U2852,2024-03-10,S024,New York,East,Furniture,,17,Premium,
U0954,2024-01-14,S023,San Diego,West,Clothing,482.96,40,Premium,Completed
U2255,2024-02-10,S016,Miami,South,Clothing,,26,Basic,
U0243,2024-01-23,S024,Chicago,East,Furniture,,45,Premium,Pending
U0721,2024-01-10,S024,Houston,South,Electronics,,44,Premium,Completed
U1223,2024-05-25,S015,San Diego,West,Clothing,989.32,32,Basic,Completed
U2066,2024-04-29,S011,Seattle,North,Electronics,,36,Basic,
U0763,2024-01-04,S022,Denver,North,Furniture,,35,Basic,Pending
U2111,2024-03-24,S004,San Diego,West,Furniture,,31,Basic,Completed
U0028,2024-03-07,S025,Dallas,South,Clothing,,25,Premium,Pending
U2678,2024-04-02,S004,New York,East,Furniture,,28,Basic,
U0481,2024-06-12,S008,Denver,North,Furniture,,31,Premium,Pending
U2482,2024-04-05,S016,Miami,South,Furniture,762.2,42,Premium,Completed
U2787,2024-06-01,S017,Phoenix,West,Clothing,,45,Premium,Completed
U2244,2024-05-09,S005,Chicago,East,Furniture,181.25,30,Premium,
U0842,2024-05-29,S015,Dallas,South,Furniture,,20,Basic,Pending
U2310,2024-01-15,S024,Miami,South,Clothing,,42,Premium,
U0893,2024-05-28,S012,Los Angeles,West,Clothing,706.38,17,Premium,Pending
U0130,2024-03-14,S025,Dallas,South,Electronics,648.69,36,Basic,Pending
U1567,2024-04-24,S022,Houston,South,Electronics,964.86,20,Basic,Completed
U0732,2024-05-17,S024,Miami,South,Electronics,,40,Premium,Pending
U1897,2024-06-21,S008,Miami,South,Clothing,,20,Basic,Completed
U2970,2024-01-29,S020,Phoenix,West,Clothing,,23,Premium,Completed
U0414,2024-06-01,S022,San Diego,West,Furniture,,23,Premium,Pending
U1798,2024-02-29,S017,New York,East,Electronics,,42,Basic,
U2450,2024-06-21,S005,Seattle,North,Clothing,985.98,23,Basic,Pending
U1128,2024-01-16,S014,Chicago,East,Furniture,,27,Basic,
U1306,2024-06-27,S010,Houston,South,Electronics,388.93,31,Premium,Completed
U1232,2024-02-06,S014,Dallas,South,Furniture,968.43,32,Premium,Pending
U0995,2024-03-06,S003,Boston,East,Furniture,,18,Premium,Completed
U1100,2024-04-06,S025,Los Angeles,West,Electronics,595.83,33,Premium,Pending
U0856,2024-03-26,S007,Seattle,North,Electronics,,39,Basic,Completed
U2850,2024-06-03,S018,Boston,East,Electronics,,28,Basic,
U2658,2024-04-01,S017,Denver,North,Clothing,,19,Basic,Pending
U0833,2024-04-04,S019,Denver,North,Electronics,866.8,20,Premium,Pending
U2267,2024-05-29,S007,Houston,South,Electronics,,34,Premium,Pending
U2256,2024-06-16,S024,Denver,North,Clothing,,30,Premium,
U1443,2024-02-13,S016,Chicago,East,Furniture,200.37,36,Premium,
U0139,2024-01-20,S005,Los Angeles,West,Clothing,,18,Premium,Completed
U0896,2024-05-09,S020,Houston,South,Electronics,644.97,45,Basic,
U1999,2024-01-05,S014,Phoenix,West,Furniture,31.61,39,Basic,
U1175,2024-01-05,S004,Dallas,South,Electronics,,22,Basic,Pending
U1095,2024-04-11,S015,San Diego,West,Clothing,573.7,23,Basic,
U0331,2024-06-16,S013,Los Angeles,West,Clothing,,17,Premium,
U0702,2024-01-22,S011,Houston,South,Furniture,,44,Premium,Completed
U0866,2024-06-26,S003,Houston,South,Electronics,,44,Premium,Completed
U1289,2024-01-05,S025,Chicago,East,Electronics,,45,Premium,Pending
U0666,2024-05-24,S022,Chicago,East,Clothing,,28,Premium,
U2967,2024-01-21,S014,Seattle,North,Electronics,,26,Basic,Pending
U0122,2024-06-11,S008,Denver,North,Clothing,,29,Premium,
U2400,2024-06-18,S010,Dallas,South,Furniture,802.09,18,Premium,Pending
U0632,2024-04-07,S011,Chicago,East,Clothing,,16,Basic,Pending
U1475,2024-03-10,S006,Los Angeles,West,Electronics,442.36,33,Basic,Completed
U0108,2024-01-23,S020,Minneapolis,North,Electronics,,43,Basic,Completed
U1196,2024-04-15,S018,Dallas,South,Furniture,,34,Premium,
U1560,2024-02-13,S009,Boston,East,Clothing,,21,Basic,Pending
U1725,2024-03-17,S009,Dallas,South,Clothing,945.34,36,Basic,
U2526,2024-02-20,S010,Dallas,South,Electronics,,26,Basic,Pending
U1804,2024-03-26,S005,Miami,South,Furniture,314.43,38,Premium,Pending
U1287,2024-02-15,S024,Houston,South,Clothing,,34,Premium,Pending
U1541,2024-03-12,S019,Houston,South,Electronics,215.8,21,Premium,
U1891,2024-02-23,S003,Houston,South,Furniture,,37,Basic,Completed
U2595,2024-03-18,S005,Boston,East,Furniture,,18,Basic,
U1963,2024-05-29,S023,Miami,South,Furniture,,41,Basic,
U2200,2024-06-01,S022,Los Angeles,West,Electronics,,36,Premium,
U2643,2024-06-22,S004,Houston,South,Clothing,,23,Premium,Pending
U1533,2024-04-10,S023,Miami,South,Furniture,,16,Basic,Completed
U1211,2024-04-16,S005,Los Angeles,West,Furniture,,30,Premium,
U1979,2024-03-30,S024,Dallas,South,Clothing,,18,Basic,Completed
U2912,2024-01-30,S004,San Diego,West,Furniture,,45,Premium,
U0715,2024-05-21,S014,Boston,East,Furniture,,41,Basic,
U0756,2024-02-17,S024,Houston,South,Electronics,,30,Basic,Pending
U0019,2024-06-29,S025,New York,East,Clothing,,34,Premium,
U0766,2024-04-03,S004,Seattle,North,Clothing,,32,Basic,
U1592,2024-06-05,S012,Miami,South,Electronics,,35,Premium,
U2892,2024-03-17,S011,Phoenix,West,Electronics,,19,Premium,Pending
U2841,2024-02-06,S005,Houston,South,Furniture,,21,Basic,
U2202,2024-06-26,S016,Chicago,East,Electronics,,26,Basic,
U0220,2024-04-01,S007,San Diego,West,Electronics,818.91,32,Basic,Pending
U2805,2024-05-05,S016,Miami,South,Clothing,183.91,16,Premium,Pending
U0134,2024-03-11,S006,Chicago,East,Clothing,785.13,39,Basic,
U2093,2024-01-29,S012,San Diego,West,Furniture,,40,Basic,
U0896,2024-04-18,S025,Phoenix,West,Furniture,,30,Basic,Pending
U0357,2024-04-22,S024,Los Angeles,West,Electronics,,43,Basic,Completed
U2524,2024-02-05,S019,New York,East,Electronics,,35,Premium,Pending
U2884,2024-03-15,S017,Minneapolis,North,Clothing,985.78,42,Premium,Completed
U1686,2024-01-16,S023,Minneapolis,North,Electronics,,20,Basic,Completed
U2770,2024-04-10,S021,Dallas,South,Furniture,,28,Basic,Completed
U2596,2024-01-24,S009,Miami,South,Furniture,,30,Basic,Pending
U2384,2024-01-01,S021,Phoenix,West,Clothing,,43,Premium,
U1630,2024-02-25,S009,Dallas,South,Clothing,,26,Premium,
U1988,2024-03-28,S021,Los Angeles,West,Electronics,,16,Premium,Completed
U1808,2024-04-26,S023,San Diego,West,Electronics,911.22,25,Premium,Pending
U0383,2024-06-16,S012,Denver,North,Electronics,671.22,21,Premium,Pending
U2563,2024-03-19,S003,Boston,East,Furniture,,22,Basic,Completed
U0544,2024-05-31,S015,Chicago,East,Furniture,29.1,26,Premium,Pending
U2843,2024-02-03,S013,Dallas,South,Electronics,,19,Basic,Pending
U1226,2024-02-05,S022,Dallas,South,Furniture,160.0,34,Premium,
U2663,2024-02-12,S007,Houston,South,Furniture,,45,Basic,
U2813,2024-04-23,S005,New York,East,Electronics,757.4,39,Basic,Pending
U1759,2024-03-21,S021,New York,East,Clothing,102.56,35,Basic,
U0110,2024-06-17,S020,Seattle,North,Furniture,519.33,28,Basic,
U0224,2024-03-02,S008,Houston,South,Electronics,509.59,18,Premium,Pending
U1297,2024-02-03,S012,Miami,South,Clothing,,40,Basic,Completed
U0069,2024-05-30,S007,Los Angeles,West,Clothing,,41,Basic,
U1174,2024-06-09,S013,Houston,South,Furniture,100.78,33,Premium,Pending
U0343,2024-03-20,S005,Phoenix,West,Electronics,,34,Premium,Pending
U2862,2024-04-21,S003,New York,East,Electronics,,30,Premium,Pending
U2729,2024-06-17,S023,New York,East,Electronics,,21,Basic,Pending
U2143,2024-05-12,S005,Seattle,North,Clothing,,39,Premium,Completed
U1373,2024-04-19,S009,Minneapolis,North,Electronics,718.08,36,Premium,Pending
U1865,2024-05-10,S019,Seattle,North,Clothing,,24,Premium,
U2762,2024-01-30,S001,Chicago,East,Furniture,,23,Premium,Pending
U1491,2024-04-08,S018,New York,East,Electronics,807.05,39,Basic,Completed
U1319,2024-03-04,S009,Miami,South,Clothing,829.48,27,Premium,
U2758,2024-01-14,S002,New York,East,Furniture,,44,Basic,Pending
U1273,2024-03-24,S001,Phoenix,West,Clothing,,34,Basic,
U2551,2024-03-03,S016,Houston,South,Furniture,,39,Premium,Completed
U0027,2024-04-14,S012,Los Angeles,West,Furniture,643.22,44,Premium,Pending
U0006,2024-06-17,S010,Miami,South,Furniture,121.87,23,Basic,Pending
U0246,2024-02-06,S008,Seattle,North,Electronics,899.34,29,Basic,Pending
U0348,2024-05-28,S021,Phoenix,West,Electronics,,34,Premium,Pending
U2714,2024-02-03,S011,Boston,East,Clothing,,38,Basic,Pending
U1855,2024-03-10,S005,New York,East,Electronics,784.34,19,Premium,Completed
U0674,2024-04-25,S004,Houston,South,Clothing,,30,Basic,Pending
U1086,2024-01-31,S010,Los Angeles,West,Furniture,829.86,35,Premium,Completed
U1343,2024-02-07,S012,Phoenix,West,Electronics,,37,Basic,Pending
U0713,2024-01-08,S024,Houston,South,Furniture,,30,Premium,Completed
U0498,2024-01-04,S007,Los Angeles,West,Electronics,,37,Premium,
U2401,2024-03-07,S007,Los Angeles,West,Electronics,,41,Premium,Completed
U1359,2024-02-01,S006,San Diego,West,Electronics,,42,Basic,Pending
U0121,2024-04-07,S007,Dallas,South,Clothing,,24,Basic,Completed
U0142,2024-06-06,S016,Chicago,East,Clothing,423.75,31,Premium,Completed
U1146,2024-04-08,S021,Boston,East,Electronics,886.96,23,Premium,Pending
U2922,2024-04-01,S012,Miami,South,Clothing,914.42,26,Basic,Pending
U0737,2024-01-07,S001,Minneapolis,North,Electronics,,17,Basic,
U1465,2024-05-29,S008,New York,East,Electronics,,33,Premium,Completed
U2359,2024-04-09,S008,Seattle,North,Electronics,600.67,38,Basic,
U0116,2024-06-29,S005,Minneapolis,North,Furniture,,42,Basic,
U1266,2024-02-14,S002,Dallas,South,Electronics,,16,Basic,Completed
U1359,2024-06-06,S023,New York,East,Clothing,,17,Premium,Completed
U2403,2024-06-29,S012,New York,East,Furniture,,38,Basic,
U0414,2024-03-27,S006,Denver,North,Electronics,,41,Basic,
U1300,2024-02-14,S019,Seattle,North,Furniture,,25,Basic,Completed
U0728,2024-01-01,S006,Miami,South,Electronics,610.34,23,Premium,Pending
U0577,2024-03-25,S011,Los Angeles,West,Clothing,,42,Basic,Pending
U0047,2024-03-08,S003,New York,East,Furniture,,39,Premium,Completed
U1581,2024-04-22,S016,Dallas,South,Clothing,,33,Basic,Completed
U1964,2024-05-27,S003,New York,East,Clothing,,25,Premium,Pending
U1070,2024-01-27,S013,San Diego,West,Electronics,,33,Premium,Pending
U2434,2024-06-06,S014,Miami,South,Electronics,,35,Basic,Completed
U0220,2024-01-26,S014,Seattle,North,Electronics,703.25,45,Basic,
U1154,2024-03-17,S013,New York,East,Electronics,,20,Premium,Pending
U0016,2024-04-19,S021,San Diego,West,Furniture,,19,Premium,Completed
U0700,2024-06-12,S004,Seattle,North,Clothing,,31,Basic,
U1086,2024-01-24,S013,Dallas,South,Clothing,,17,Basic,Pending
